Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
"Other Asia, nes",Belize,2019,Exports & Imports,,,,,4769.45,6151.15,1381.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Bermuda,2019,Exports & Imports,,,,,793.04,846.4,53.37,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Bolivia,2019,Exports & Imports,,,,,3780.64,6911.51,3130.88,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Brazil,2019,Exports & Imports,,,,,-879755.44,1179102.81,2058858.25,0.72,0.36,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Barbados,2019,Exports & Imports,,,,,2062.88,3650.12,1587.23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Brunei,2019,Exports & Imports,,,,,-146690.54,11887.78,158578.31,0.06,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Bhutan,2019,Exports & Imports,,,,,48.01,89.14,41.13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Botswana,2019,Exports & Imports,,,,,411.64,1164.49,752.86,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Central African Republic,2019,Exports & Imports,,,,,-2447.54,25.14,2472.68,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Canada,2019,Exports & Imports,,,,,573430.32,2383187.03,1809756.71,0.63,0.72,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Cocos (Keeling) Islands,2019,Exports & Imports,,,,,,,1.91,0,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Switzerland,2019,Exports & Imports,,,,,-1235233,603980.86,1839213.86,0.64,0.18,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Chile,2019,Exports & Imports,,,,,-1383240.02,213250.23,1596490.24,0.56,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",China,2019,Exports & Imports,,,,,34440933.47,91878845.71,57437912.24,20.09,27.89,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Cote d'Ivoire,2019,Exports & Imports,,,,,19893.86,21455.56,1561.7,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Cameroon,2019,Exports & Imports,,,,,-33172.89,3944.3,37117.19,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes","Congo, Rep.",2019,Exports & Imports,,,,,-6313.09,789.1,7102.18,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Cook Islands,2019,Exports & Imports,,,,,35.04,37.08,2.04,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Colombia,2019,Exports & Imports,,,,,184172.82,301527.75,117354.93,0.04,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Comoros,2019,Exports & Imports,,,,,,,56.76,0,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Cape Verde,2019,Exports & Imports,,,,,20.58,31.16,10.58,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Costa Rica,2019,Exports & Imports,,,,,-20256.04,82308.1,102564.14,0.04,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Cuba,2019,Exports & Imports,,,,,-4675.32,3816.66,8491.97,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Curaçao,2019,Exports & Imports,,,,,-2211.2,826.92,3038.13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Christmas Island,2019,Exports & Imports,,,,,,,26.05,0,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Cayman Islands,2019,Exports & Imports,,,,,243.96,270.33,26.38,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Cyprus,2019,Exports & Imports,,,,,22219.07,27185.31,4966.24,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Czech Republic,2019,Exports & Imports,,,,,89288.72,454327.25,365038.53,0.13,0.14,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Germany,2019,Exports & Imports,,,,,-2883586.7,6527374.63,9410961.33,3.29,1.98,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Djibouti,2019,Exports & Imports,,,,,32748.21,33142.16,393.95,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Dominica,2019,Exports & Imports,,,,,-162.32,112.4,274.73,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Denmark,2019,Exports & Imports,,,,,49331.95,348157.08,298825.13,0.1,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Dominican Republic,2019,Exports & Imports,,,,,33757.52,101058.99,67301.48,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Algeria,2019,Exports & Imports,,,,,-66198.2,90169.96,156368.16,0.05,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",East Asia & Pacific,2019,Exports & Imports,,,,,63344793.38,230542025,167197231.6,58.47,69.97,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Europe & Central Asia,2019,Exports & Imports,,,,,-6868936.93,30910275.19,37779212.13,13.21,9.38,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Ecuador,2019,Exports & Imports,,,,,112347.9,123012.33,10664.42,0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes","Egypt, Arab Rep.",2019,Exports & Imports,,,,,324340.32,392735.3,68394.98,0.02,0.12,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Eritrea,2019,Exports & Imports,,,,,118.51,152.07,33.56,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Spain,2019,Exports & Imports,,,,,426860.17,1195903.08,769042.92,0.27,0.36,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Estonia,2019,Exports & Imports,,,,,68424.08,82562.78,14138.7,0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Ethiopia(excludes Eritrea),2019,Exports & Imports,,,,,-924.3,16805.35,17729.65,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Finland,2019,Exports & Imports,,,,,-102127.01,262070.85,364197.86,0.13,0.08,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Fiji,2019,Exports & Imports,,,,,39623.75,41826.36,2202.61,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Falkland Island,2019,Exports & Imports,,,,,,,0.23,0,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",France,2019,Exports & Imports,,,,,-1700750.25,1532106.13,3232856.38,1.13,0.47,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Faeroe Islands,2019,Exports & Imports,,,,,-6039.94,147.41,6187.35,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes","Micronesia, Fed. Sts.",2019,Exports & Imports,,,,,10552.82,10617.15,64.34,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Gabon,2019,Exports & Imports,,,,,-5776.23,832.33,6608.55,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",United Kingdom,2019,Exports & Imports,,,,,1558098.33,3579658.17,2021559.84,0.71,1.09,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Georgia,2019,Exports & Imports,,,,,11175.71,20031.35,8855.63,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Ghana,2019,Exports & Imports,,,,,24872.27,26260.31,1388.04,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Guinea,2019,Exports & Imports,,,,,10061.14,10274.76,213.63,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes","Gambia, The",2019,Exports & Imports,,,,,-1880.93,646.8,2527.73,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Equatorial Guinea,2019,Exports & Imports,,,,,-68091.34,82.22,68173.56,0.02,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Greece,2019,Exports & Imports,,,,,101315.22,124434.86,23119.64,0.01,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Grenada,2019,Exports & Imports,,,,,143.27,154.4,11.13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Greenland,2019,Exports & Imports,,,,,-35800.47,1.62,35802.09,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Guatemala,2019,Exports & Imports,,,,,71528.13,140148.46,68620.33,0.02,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Guam,2019,Exports & Imports,,,,,30671.18,35470.14,4798.95,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Guyana,2019,Exports & Imports,,,,,513.88,4209.59,3695.71,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes","Hong Kong, China",2019,Exports & Imports,,,,,39306187.6,40369858.92,1063671.33,0.37,12.25,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Honduras,2019,Exports & Imports,,,,,-18141.27,74289.37,92430.63,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Croatia,2019,Exports & Imports,,,,,45448.37,51501.18,6052.82,0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Haiti,2019,Exports & Imports,,,,,21912.83,26519.03,4606.2,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Hungary,2019,Exports & Imports,,,,,336697.84,579410.87,242713.03,0.08,0.18,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Indonesia,2019,Exports & Imports,,,,,-1769255.25,2924935.4,4694190.65,1.64,0.89,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",India,2019,Exports & Imports,,,,,772321.08,3286889.77,2514568.69,0.88,1,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",British Indian Ocean Ter.,2019,Exports & Imports,,,,,,,0.16,0,,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Ireland,2019,Exports & Imports,,,,,-580515.71,336659.3,917175.01,0.32,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes","Iran, Islamic Rep.",2019,Exports & Imports,,,,,35553.76,107687.37,72133.6,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Iraq,2019,Exports & Imports,,,,,-1460101.94,56583.8,1516685.74,0.53,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Iceland,2019,Exports & Imports,,,,,-9100.68,6145.87,15246.55,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Israel,2019,Exports & Imports,,,,,-207490.88,782818.51,990309.39,0.35,0.24,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Italy,2019,Exports & Imports,,,,,-632618.51,1980790.27,2613408.78,0.91,0.6,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Jamaica,2019,Exports & Imports,,,,,2017.47,10504.04,8486.57,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Jordan,2019,Exports & Imports,,,,,236474.11,302447.45,65973.34,0.02,0.09,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Japan,2019,Exports & Imports,,,,,-20762629.25,23303116.68,44065745.93,15.41,7.07,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Kazakhstan,2019,Exports & Imports,,,,,-47921,36240.22,84161.22,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Kenya,2019,Exports & Imports,,,,,123666.18,142124.25,18458.07,0.01,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Kyrgyz Republic,2019,Exports & Imports,,,,,1819.61,1957.41,137.8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Cambodia,2019,Exports & Imports,,,,,612707.84,719946.92,107239.08,0.04,0.22,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Kiribati,2019,Exports & Imports,,,,,10564.04,10657.93,93.88,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",St. Kitts and Nevis,2019,Exports & Imports,,,,,3851.37,3875.38,24.01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes","Korea, Rep.",2019,Exports & Imports,,,,,-834602,16926092.79,17760694.79,6.21,5.14,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Kuwait,2019,Exports & Imports,,,,,-4150432.93,156701.79,4307134.72,1.51,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Lao PDR,2019,Exports & Imports,,,,,-2989.23,10115.54,13104.78,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Lebanon,2019,Exports & Imports,,,,,60867.15,63409.22,2542.07,0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Liberia,2019,Exports & Imports,,,,,1406.71,1433.41,26.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Libya,2019,Exports & Imports,,,,,24850.17,25915.23,1065.06,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",St. Lucia,2019,Exports & Imports,,,,,421.41,696.3,274.89,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Latin America & Caribbean,2019,Exports & Imports,,,,,-25068.72,5871450.25,5896518.96,2.06,1.78,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Sri Lanka,2019,Exports & Imports,,,,,316079.71,374106.58,58026.87,0.02,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Lesotho,2019,Exports & Imports,,,,,63618.82,64110.67,491.85,0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Lithuania,2019,Exports & Imports,,,,,79487.54,120703.79,41216.25,0.01,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Luxembourg,2019,Exports & Imports,,,,,-6946.54,19613.12,26559.65,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Latvia,2019,Exports & Imports,,,,,87923.11,99871.98,11948.87,0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Macao,2019,Exports & Imports,,,,,91798.88,97990.53,6191.66,0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Morocco,2019,Exports & Imports,,,,,22693.89,71424.27,48730.38,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Moldova,2019,Exports & Imports,,,,,3315.98,12291.1,8975.12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Madagascar,2019,Exports & Imports,,,,,-32288.55,31130.71,63419.26,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Maldives,2019,Exports & Imports,,,,,2173.02,5184.77,3011.75,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Middle East & North Africa,2019,Exports & Imports,,,,,-19163772.14,4909542.67,24073314.81,8.42,1.49,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Mexico,2019,Exports & Imports,,,,,1929131.52,2847001.62,917870.1,0.32,0.86,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Marshall Islands,2019,Exports & Imports,,,,,8597.91,9370.89,772.99,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",North Macedonia,2019,Exports & Imports,,,,,1565.93,3769,2203.07,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Mali,2019,Exports & Imports,,,,,869.53,1684.36,814.83,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Malta,2019,Exports & Imports,,,,,2068.04,25742.39,23674.34,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Myanmar,2019,Exports & Imports,,,,,171789.74,242326.55,70536.82,0.02,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Mongolia,2019,Exports & Imports,,,,,-19533.65,4949.44,24483.09,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Northern Mariana Islands,2019,Exports & Imports,,,,,5886.06,6014.38,128.32,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Montenegro,2019,Exports & Imports,,,,,8513.36,8555.14,41.78,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Mozambique,2019,Exports & Imports,,,,,41668.29,48273.31,6605.03,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Mauritania,2019,Exports & Imports,,,,,1041.76,1684.68,642.92,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Montserrat,2019,Exports & Imports,,,,,14.95,19.67,4.72,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Mauritius,2019,Exports & Imports,,,,,103827.16,110354.93,6527.77,0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Malawi,2019,Exports & Imports,,,,,-1312.61,1289.1,2601.71,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Malaysia,2019,Exports & Imports,,,,,-978187.27,9410521.95,10388709.22,3.63,2.86,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",North America,2019,Exports & Imports,,,,,11766801.42,48731357.39,36964555.97,12.93,14.79,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Namibia,2019,Exports & Imports,,,,,-236.98,1663.3,1900.28,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",New Caledonia,2019,Exports & Imports,,,,,-55310.45,4721.69,60032.14,0.02,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Niger,2019,Exports & Imports,,,,,320.49,475.18,154.69,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Nigeria,2019,Exports & Imports,,,,,116247.17,237228.87,120981.7,0.04,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Nicaragua,2019,Exports & Imports,,,,,-105520.82,20287.32,125808.13,0.04,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Niue,2019,Exports & Imports,,,,,-2.72,6.44,9.16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Netherlands,2019,Exports & Imports,,,,,-2007245.06,5868821.47,7876066.53,2.75,1.78,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Norway,2019,Exports & Imports,,,,,-113143.96,187213.66,300357.62,0.11,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Nepal,2019,Exports & Imports,,,,,9156.34,10732.34,1576,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Nauru,2019,Exports & Imports,,,,,46299.85,46326.32,26.47,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",New Zealand,2019,Exports & Imports,,,,,-360680.2,480299.93,840980.13,0.29,0.15,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Oman,2019,Exports & Imports,,,,,-1269477.37,132477.42,1401954.79,0.49,0.04,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Pakistan,2019,Exports & Imports,,,,,525837.93,627581.77,101743.84,0.04,0.19,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Panama,2019,Exports & Imports,,,,,70533.77,106424.05,35890.28,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,
"Other Asia, nes",Peru,2019,Exports & Imports,,,,,-17047.92,229957.39,247005.31,0.09,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
