Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
 World,Sudan,2019,Exports & Imports,3429,926,74.29,19.92,,7748171.86,4128592.46,0.02,0.04,7.45,1.82,6061,61.49,27.82,1.93,8.76,2926.01,0,862986.33,2082241.85,1146194.21,10.52,5.96,259648,66.7,24.27,31.78,355.16,3000,0,2069814.42,3228436.06,0,
 World,Suriname,2019,Exports & Imports,2969,1168,64.32,25.12,,1535780.05,2820353.38,0.02,0.01,2.84,0.35,11671,9.82,87.46,0.12,2.6,274.5,0,2.43,332663.11,1855993.88,11.11,8.25,343584,69.68,22.2,27.89,211.18,3000,0,1783909.43,2188656.99,0,25
 World,Slovak Republic,2019,Exports & Imports,4445,4404,96.3,94.73,,79203957.54,89040233.75,0.48,0.43,5.37,9.25,72148,42.7,54.59,0.3,2.42,3000,0,10924149.57,18315149.62,314124.91,8.79,13.17,874126,70.4,24.16,7.49,58.5,3000,0,11706513.3,18629274.53,0,47
 World,Slovenia,2019,Exports & Imports,4433,4397,96.04,94.58,,42678336.94,35077367.62,0.19,0.23,5.2,8.12,75846,39.18,58.28,0.19,2.36,3000,0,411971.24,6338008.28,206722.81,9.09,8.84,993446,69.71,23.83,8.57,76.01,3000,0,2371481.52,6544731.09,0,47
 World,Sweden,2019,Exports & Imports,4491,4483,97.29,96.43,,143709774.7,153042511.1,0.82,0.78,6.42,5.33,142980,46.1,51.77,0.25,1.88,3000,0,9735942.14,52311329.21,1064425.77,9.09,7.45,1175242,69.6,24.11,4.67,47.03,3000,0,19358568.13,53375754.98,0,46
 World,Eswatini,2019,Exports & Imports,3887,2231,84.21,47.99,,1693588.94,3527441.44,0.02,0.01,4.07,21.12,18155,26.07,73.14,0.04,0.75,3000,0,41239.91,1535487.11,190038.74,9.87,19.36,669483,69.99,22.29,28.98,255.83,3000,0,1217042.88,1725525.85,0,26
 World,Saint Maarten (Dutch part),2019,Exports & Imports,2345,1142,50.8,24.56,,936413.43,143732.78,0,0.01,11.55,7.67,6691,74.01,15.44,2.48,8.07,3000,0,902.05,25586.76,2416.5,11.58,15.24,387992,68.86,21.2,61.29,515.54,3000,0,15959.19,28003.25,0,
 World,Seychelles,2019,Exports & Imports,3123,871,67.66,18.74,,893494.29,686094.21,0,0,3.32,1.67,7924,16.95,81.99,0.09,0.97,50,0,1656.2,796297.16,33862.26,9.56,15.89,279164,70.19,24.37,37.92,153.69,3000,0,23394.17,830159.43,0,21
 World,Syrian Arab Republic,2019,Exports & Imports,3422,1744,74.13,37.51,,6401446.29,746422.98,0,0.03,2.63,10.59,22985,26.68,53.43,3.67,16.22,3000,0,144601.02,447281.34,78146.23,11.46,14.22,490649,71.09,19.35,19.98,184.04,3000,0,188461.67,525427.57,0,13
 World,Turks and Caicos Isl.,2019,Exports & Imports,1903,506,41.23,10.88,,426017.98,18518.5,0,0,4.51,0.89,3096,16.7,75.74,0.45,7.11,294.12,0,99.57,2073.28,12282.02,9.61,11.26,148622,69.84,22.13,69.48,315.99,3000,0,2104.48,14355.3,0,13
 World,Chad,2019,Exports & Imports,2285,422,49.5,9.08,,1001576.31,1332025.49,0.01,0.01,5.3,0.15,2370,42.28,57.34,0.08,0.3,40,0,1.07,73344.93,892014.35,9.7,2.54,128832,68.47,26.91,37.64,213.63,3000,0,888150.47,965359.29,0,24
 World,Togo,2019,Exports & Imports,3071,1741,66.53,37.45,,10276704.23,2451664.35,0.01,0.06,1.16,1.2,11018,21.97,75.97,0.17,1.89,274.5,0,10126.87,2163964.84,1181019.85,11.35,10.94,542316,69.41,21.81,46.18,386.04,3000,0,1096578.61,3344984.7,0,31
 World,Thailand,2019,Exports & Imports,4477,4388,96.99,94.39,,203178011.9,274520895.7,1.47,1.11,5.38,6.45,322803,55.91,37.91,0.72,5.46,3000,0,34096271.65,257392934.9,6549373.7,9.34,8.65,1271557,69.61,23.75,2.17,23.98,3000,0,88386757.57,263942308.6,0,39
 World,Tajikistan,2019,Exports & Imports,3138,733,67.98,15.77,,4035704.02,966802.98,0.01,0.02,8.6,3.73,6855,43.18,47.82,1.21,7.79,195.19,0,42,493829.7,342140.33,10.3,6.69,294386,69.6,20.95,37.37,368.72,3000,0,242976.37,835970.03,0,13
 World,Tokelau,2019,Exports & Imports,517,808,11.2,17.38,,12321.45,21406.51,0,0,7.23,6.47,7182,76.16,20.82,1.04,1.98,69.81,0,51.03,17509.31,8178.87,10.16,10.41,248791,73.55,19.73,26.96,205.95,3000,0,3338.19,25688.17,0,11
 World,Turkmenistan,2019,Exports & Imports,3193,796,69.17,17.12,,3081848.37,12222277.66,0.07,0.02,4.28,0.39,5343,50.42,41.94,0.8,6.83,180,0,185.34,1783904.8,8147014.85,9.73,3.52,236225,70.4,21.08,46.43,330.19,3000,0,8765415.55,9930919.65,0,15
 World,East Timor,2019,Exports & Imports,2410,330,52.21,7.1,,537626.81,122334.64,0,0,13.79,0.3,1793,28.33,71.44,0,0.22,3000,0,0,22265.59,80042.7,11.37,4.95,114258,67.78,26.33,47.3,328.11,3000,0,63652.13,102308.29,0,22
 World,Tonga,2019,Exports & Imports,2128,299,46.1,6.43,,213486.16,16338.07,0,0,4.09,1.38,1792,23.83,70.15,0.11,5.92,296.66,0,161.43,4311.73,8311.33,9.57,9.75,120572,69.57,24.35,41.63,367.58,3000,0,2853,12623.06,0,12
 World,Trinidad and Tobago,2019,Exports & Imports,3509,2629,76.02,56.55,,6003948.55,11216810.88,0.06,0.03,0.72,0.99,16743,7.07,90.72,0.12,2.1,3000,0,61012.22,7974511.61,2337652.49,10.6,4.59,666115,70.38,22.43,33.56,252.66,3000,0,3311046.06,10312164.1,0,32
 World,Tunisia,2019,Exports & Imports,4058,2947,87.91,63.39,,19130844.83,15604183.33,0.08,0.1,3.58,3.88,99780,22.84,69.5,1,6.66,3000,0,825525.79,25701302.33,2194379.92,9.47,8.78,883031,70.86,22.59,5.86,52.15,3000,0,4918177.38,27895682.25,0,23
 World,Turkey,2019,Exports & Imports,4480,4426,97.05,95.2,,184361506.9,170179771.9,0.91,1.01,4.89,6.17,432940,31.91,62.14,0.69,5.26,3000,0,42603940.18,236009601,3452235.52,9.17,10.5,1268259,69.57,23.79,1.6,17.87,3000,0,61363489.9,239461836.5,0,22
 World,Tuvalu,2019,Exports & Imports,1111,179,24.07,3.85,,89841.5,19141.94,0,0,2.11,0.08,1155,52.81,47.01,0,0.17,30,0,0,334.49,12322.6,8.32,5.95,62289,70.4,23.97,92.81,210.91,3000,0,230.01,12657.09,0,21
 World,Tanzania,2019,Exports & Imports,3799,2716,82.3,58.42,,13333855.48,4971583.09,0.03,0.07,3.2,4.01,21495,33.65,64.93,0.17,1.26,2276.97,0,79671.83,2758219.86,1618396.68,10.68,10.66,673671,69.64,22.36,25.33,225.56,3000,0,2017246.81,4376616.53,0,41
 World,Uganda,2019,Exports & Imports,3629,2181,78.62,46.91,,4092595.85,3195972.16,0.02,0.02,2.81,6.7,16838,32.9,66.02,0.17,0.92,3000,0,12046.55,1346702.74,1268188.92,10.65,9.44,560005,69.44,22.17,26.01,253,3000,0,1240147.58,2614891.66,0,32
 World,Ukraine,2019,Exports & Imports,4402,3804,95.36,81.82,,55943432.71,55114902.39,0.3,0.31,2.3,6.34,166750,15.78,80.32,0.55,3.36,3000,0,1652462.78,60229718.46,6278721.93,9.45,9.63,1094252,69.45,23.57,3.83,42,3000,0,6984839.65,66508440.39,0,16
 World,United States Minor Outlying I,2019,Exports & Imports,430,511,9.32,10.99,,39436.66,33345.37,0,0,7.12,2.43,4091,65.12,31.14,2.32,1.42,274.5,0,71.44,31382.72,4061.5,10.34,6.37,225725,69.4,23.88,57.57,313.2,3000,0,4680.87,35444.22,0,
 World,Unspecified,2019,Exports & Imports,3645,4477,78.96,96.3,,607710074.9,181229414.3,0.97,3.32,8.03,4.7,154308,71.04,20.19,1.03,7.74,3000,0,1586090,81829466.14,3641892.7,9.39,6.9,1297044,69.47,23.87,4.69,51.29,3000,0,32254917.62,85471358.84,0,
 World,Uruguay,2019,Exports & Imports,3844,2310,83.28,49.69,,11137790.75,9992055.15,0.05,0.06,4.97,13.91,40023,39.91,37.64,1.39,21.06,3000,0,261198.84,9418275.51,758405.15,10.23,18.74,702974,68.95,22.6,13.35,135.01,3000,0,1648935.35,10176680.66,0,65
 World,United States,2019,Exports & Imports,4596,4637,99.57,99.74,,2377736274,1578513268,8.46,12.97,7.24,5.27,665860,63.8,30.53,0.67,5,3000,0,206504342.5,1493139878,2512693.67,9.4,6.69,1344164,69.34,24.15,1.1,12.05,3000,0,596843464.4,1495652571,0,14
 World,Uzbekistan,2019,Exports & Imports,3970,1937,86.01,41.66,,19867685.34,12357826.79,0.07,0.11,2.04,1.09,23531,26.06,66.71,1.19,6.03,2926.01,0,121430.92,4614661.3,9316393.36,10.75,6.36,557197,69.97,21.55,20.36,180.47,3000,0,9692448.59,13931054.66,0,15
 World,Holy See,2019,Exports & Imports,318,290,6.89,6.24,,31836.04,6777.93,0,0,6.39,0.78,1680,67.92,29.82,0,2.26,45,0,0,1404.43,6149.66,8.05,5.87,102141,69.14,24.96,7.38,351.67,1016.73,0,4269.84,7554.09,0,
 World,St. Vincent and the Grenadines,2019,Exports & Imports,2256,708,48.87,15.23,,352506.4,176014.51,0,0,3.79,0.2,3219,10.44,89.25,0.03,0.28,45,0,21.94,4931.18,103018.23,11.22,14.98,216453,68.59,22.95,44.61,524.17,3000,0,11465.97,107949.41,0,27
 World,Venezuela,2019,Exports & Imports,3411,1856,73.9,39.92,,6244461.49,16894840.43,0.09,0.03,4.58,0.44,19309,54.93,37.08,2.54,5.46,298.01,0,17757322.47,21503753.32,1068682.5,9.85,2.73,565258,71.03,21.98,25.38,179.3,3000,0,20267234.3,22572435.82,0,61
